id,prov,name,votes,cpc,ndp,lpc,bq,gpc,other
59016,59,Langley--Aldergrove,44641,29383,8637,4009,0,2345,264
59017,59,Mission--Matsqui--Fraser Canyon,33640,18329,10769,2827,0,1560,153
59018,59,Nanaimo--Ladysmith,55883,22571,25294,3732,0,4007,275
59019,59,New Westminster--Burnaby,40943,14231,21200,3562,0,1773,177
59020,59,North Okanagan--Shuswap,56922,31510,15075,4251,0,6081,4
59021,59,North Vancouver,50304,23923,8481,14948,0,2631,323
59022,59,Pitt Meadows--Maple Ridge,38417,21068,13404,2068,0,1877,0
59023,59,Port Moody--Coquitlam,43459,20202,17581,3706,0,1849,120
59024,59,Prince George--Peace River--Northern Rockies,39367,24349,10177,2033,0,2386,421
59025,59,Richmond Centre,34082,19788,6203,6390,0,1698,0
59026,59,Esquimalt--Saanich--Sooke,56654,21305,22325,5494,0,7286,242
59027,59,Saanich--Gulf Islands,62462,22784,6898,3788,0,28993,0
59028,59,Skeena--Bulkley Valley,35402,12235,19549,1277,0,1131,1208
59029,59,South Okanagan--West Kootenay,55496,24847,21886,3944,0,4514,308
59030,59,South Surrey--White Rock,45178,23890,8671,8625,0,2648,1343
59031,59,Steveston--Richmond East,33799,18224,7714,6287,0,1399,177
59032,59,Surrey Centre,32580,11618,13040,5787,0,1186,948
59033,59,Surrey--Newton,32471,8903,11457,11068,0,844,199
59034,59,Vancouver Centre,41563,10828,10951,12895,0,6268,622
59035,59,Vancouver East,44238,8361,27794,4382,0,3383,318
59036,59,Vancouver Granville,43645,15442,10672,13138,0,4028,374
59037,59,North Island--Powell River,50890,23424,21241,3237,0,2625,367
59038,59,Vancouver Kingsway,36579,10177,18752,5917,0,1292,441
59039,59,Vancouver Quadra,46531,16953,6722,20227,0,2629,0
59040,59,Vancouver South,36701,15571,7733,12390,0,810,202
59041,59,Victoria,60417,14275,30679,8448,0,7015,0
59042,59,West Vancouver--Sunshine Coast--Sea to Sky Country,52062,23840,11177,12395,0,3971,679
60001,60,Yukon,16057,5422,2308,5290,0,3037,0
61001,61,Northwest Territories,15577,5001,7140,2872,0,477,87
62001,62,Nunavut,7875,3930,1525,2260,0,160,0
